hotel_id,place_id,display_name,formatted_address
ben001,ChIJnZPrnREWrjsROEt759f8xI8,Holiday Inn Bengaluru Racecourse by IHG,"Ward No.94, 16/1, Seshadri Rd, Gandhi Nagar, Bengaluru, Karnataka 560009, India"
ben002,ChIJp57-PhQWrjsRr4Ya5WZRjb8,Goldfinch Hotel Bengaluru,"32/3, Crescent Rd, off Race Course Road, High Grounds, Gandhi Nagar, Bengaluru, Karnataka 560001, India"
ben003,ChIJRcmm1ggVrjsRPNUd8Y5YvyE,Hotel Paramos Inn,"1353, Marenahalli Rd, Jayanagara 9th Block, Jayanagar, Bengaluru, Karnataka 560041, India"
ben004,ChIJiXfgDA4WrjsRao4j9Db3W7E,GRAND KALINGA HOTEL,"19 & 20, 3rd Main Rd, Gandhi Nagar, Bengaluru, Karnataka 560009, India"
ben005,ChIJGdo6XIMWrjsR27K3QpD1ZXA,"The Oberoi, Bengaluru","37-39, Mahatma Gandhi Rd, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001, India"
ben006,ChIJPwAdcyQXrjsRMC1CufxnUuw,ibis Bengaluru City Centre,"Plot No - 30, Raja Ram Mohan Roy Rd, off Richmond Road, Sampangi Rama Nagara, Bengaluru, Karnataka 560027, India"
ben007,ChIJpaudY4AWrjsRwaJ2qkt7m7k,The Grand Magrath Hotel,"The Grand Magrath Hotel, 30, Magrath Rd, Ashok Nagar, Bengaluru, Karnataka 560025, India"
ben008,ChIJ8VvWKl0XrjsR2_k_u_Wwa0U,FabHotel Royale Basant Residency,"3, 4th Main Rd, opp. Jain Temple, Gandhi Nagar, Bengaluru, Karnataka 560009, India"
ben009,ChIJKwNz0lkVrjsRAhYoI8QHJe4,LANGFORD KEYS By TGI,"35/2, Langford Rd Cross, Bheemanna Garden, Shanti Nagar, Bengaluru, Karnataka 560025, India"
ben010,ChIJs0LbooAWrjsReeRA5nHypkw,"Vivanta Bengaluru, Residency Road","66, Residency Rd, Srinivas Nagar, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025, India"
ben011,ChIJrZpXvnkWrjsRUKTmlkuuXHU,The Chancery Hotel,"10/6, Lavelle Road, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India"
ben012,ChIJQXzoIWMWrjsRdAj085F35B8,Open Hotel by Olive - The Infantry Hotel,"66, Infantry Rd, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001, India"
ben013,ChIJ89Ej7XgXrjsRbAw9FlJyq6w,"Vividus Hotels , Bangalore","#3, Kumarakrupa Rd, Madhava Nagar, Gandhi Nagar, Bengaluru, Karnataka 560001, India"
ben014,ChIJCWruywUVrjsR07Bm-9a9TtM,"Treebo Apple Villa, Bangalore","Left Wing, Apple Villa, No. 16, Lal Bagh Main Rd, behind SP Complex, Srinivas Colony, Sudhama Nagar, Bengaluru, Karnataka 560027, India"
ben015,ChIJa9EoKA4WrjsRIDEebnoqL6g,Arafa Inn,"23, 5th Main Road, 3rd Cross Rd, behind Chicken County Restaurant, Gandhi Nagar, Bengaluru, Karnataka 560009, India"
ben016,ChIJMT11PXkWrjsRbN4NdLFfmKw,Nahar Heritage Hotel,"14, St Mark's Rd, opposite Bishop Cotton Girls School, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India"
ben017,ChIJ3ZvKfAYUrjsRGuckzDe-GxE,The Leela Palace Bengaluru - Garden City's Only Modern Palace Hotel,"23, HAL Old Airport Rd, HAL 2nd Stage, Kodihalli, Bengaluru, Karnataka 560008, India"
ben018,ChIJYVrOihEWrjsRhrh2CHsgD9A,MySpace Silverstar Hotel,"126, 6th Cross Rd, near Freedom Park, Opposite Vajreshwari Combines, Gandhi Nagar, Bengaluru, Karnataka 560009, India"
ben019,ChIJb32aqA4WrjsRj7D2tapI3Uc,Hotel Swagath,"75 Hospital Road, Balepete Main Rd, near Upparpet Police Station, Balepete, Chickpet, Bengaluru, Karnataka 560053, India"
ben020,ChIJ685HYp4WrjsRwg5uZhJnyyc,Trinity Suites,"1/3, Artillery Rd, Halasuru, Cambridge Layout, Bengaluru, Karnataka 560008, India"
ben021,ChIJhWdnyWwXrjsRQp3pIVsZyfA,"Country Inn & Suites by Radisson, Bengaluru Hebbal Road","Plot No 514, Outer Ring Rd, opp. Lumbini Garden, Kanaka Nagar, Veerannapalya, Nagavara, Bengaluru, Karnataka 560045, India"
ben022,ChIJ96syZ_MVrjsRuAzRt9gdaOQ,Treebo Akshaya Bull Temple,"47, 1, Bull Temple Rd, Sunkenahalli, Gandhi Bazaar, Basavanagudi, Bengaluru, Karnataka 560004, India"
ben023,ChIJK5zY5w0WrjsRtjIv_TYHEP0,Akshaya Aura Hotel,"6, Kalidasa Marg, Gandhi Nagar, Bengaluru, Karnataka 560009, India"
ben024,ChIJs3wvuUAWrjsRMh9IJ0XURTM,"ITC Windsor, a Luxury Collection Hotel, Bengaluru","Windsor Square, 25, Golf Course Rd, Abshot Layout, Vasanth Nagar, Bengaluru, Karnataka 560052, India"
ben025,ChIJG-G7CbY9rjsRhyLb4UJ6H2M,Saavees Residency,"2nd Floor, XHX2+4WH, 677, 12th Main Rd, behind Navarang Theatre, 2nd Block, Rajajinagar, Bengaluru, Karnataka 560010, India"
ben026,ChIJT5emxhoVrjsReUBLUQxeLgk,"ICON Boutique Hotel, Domlur, Indiranagar","210, 1st Main Rd, near Domlur, 2nd stage Indiranagar, Stage 2, Domlur, Bengaluru, Karnataka 560071, India"
ben027,ChIJ4au566cWrjsRL9d4guEuekw,City Centre Residency,"metro station, 350, 12th A Cross Rd, near Indiranagar, Indira Nagar 1st Stage, Stage 1, Indiranagar, Bengaluru, Karnataka 560038, India"
ben028,ChIJMbHe_N8XrjsR2mdQtk2L7Gk,Nalapad Hotel Bangalore International,"2A-2B, Crescent Rd, near Racecourse, High Grounds, Gandhi Nagar, Bengaluru, Karnataka 560001, India"
ben029,ChIJ-7j6znEVrjsRe1N3pQFItgg,Octave Hotel & Spa JP Nagar,"9th Cross Rd, SBI Colony, 1st Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India"
ben030,ChIJ9VoyFfsXrjsR7kKpBBfhP6w,The Kanishka Grand,"2, 2nd Main Rd, Gandhi Nagar, Bengaluru, Karnataka 560009, India"
ben031,ChIJUZl9GBEVrjsRaH43yDo6Ch8,Hotel Hindusthan International SELECT,"686,15th Cross, Ring road, Jeewan Griha Colony, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078, India"
ben032,ChIJaTekBlcUrjsRQVKbQ3npX80,Treebo Sahara Suites,"84, Hosur Rd, Zuzuvadi, Madiwala, 1st Stage, BTM Layout, Bengaluru, Karnataka 560068, India"
ben033,ChIJiUuw2wUUrjsRBNBebqmhpGs,Hotel Royal Orchid,"adjoining KGA Golf Course, 1, Golf Avenue, HAL Old Airport Rd, Domlur, Bengaluru, Karnataka 560071, India"
ben034,ChIJNdFBeNYVrjsRZmar7zBHu74,The Elanza Hotel,"88/2, Richmond Rd, Richmond Town, Bengaluru, Karnataka 560025, India"
