hotel_id,place_id,display_name,formatted_address
ahm001,ChIJkdroGGObXjkRP5XMYSS0S4Y,"Taj Skyline, Ahmedabad","Taj Skyline Ahmedabad, Sankalp Square III, Opp. Saket 3, Sindhubhavan Road, nr. Neelkanth Green, PRL Colony, Thaltej, Shilaj, Ahmedabad, Gujarat 380059, India"
ahm002,ChIJ4asBKMmEXjkRnm2CR4S4hx4,"ITC Narmada, a Luxury Collection Hotel, Ahmedabad","Survey # 104 A, Judges Bunglow Rd, I I M, Vastrapur, Ahmedabad, Gujarat 380015, India"
ahm003,ChIJ6_vIIPuEXjkRvDA5ysx4TnU,"Radisson Blu Hotel, Ahmedabad","Near Panchvati Cross Roads, Chimanlal Girdharlal Rd, Ambawadi, Ahmedabad, Gujarat 380006, India"
ahm004,ChIJocMGCA-FXjkRkovkU_6Coa4,"Welcomhotel By ITC Hotels, Ashram Road, Ahmedabad","15, Ashram Road, Dandi Kuch Cir, Old Wadaj, Ahmedabad, Gujarat 380013, India"
ahm005,ChIJ18RQqPiEXjkR6TNkoduQjn8,Four Points by Sheraton Ahmedabad,"opposite Gujarat College, Ellisbridge, Ahmedabad, Gujarat 380006, India"
ahm006,ChIJ_SQ6ZzqbXjkRNyHDMo8xKIs,Novotel Ahmedabad,"Iscon Cross Roads, Sarkhej - Gandhinagar Hwy, next to Wide Angle Cinema, Ramdev Nagar, Ahmedabad, Gujarat 380015, India"
ahm007,ChIJkVoVDdubXjkRRLiGO6_BlXM,DoubleTree by Hilton Ahmedabad,"Ambli Rd, Vikram Nagar, Ahmedabad, Gujarat 380058, India"
ahm008,ChIJI18JomGEXjkR6spwQiQrJ8o,Hyatt Regency Ahmedabad,"17/A, Ashram Rd, Usmanpura, Ahmedabad, Gujarat 380014, India"
ahm009,ChIJewSoyIqEXjkRy54T8s26H7Q,Hyatt Ahmedabad,"next to Alpha One Mall, Vastrapur, Ahmedabad, Gujarat 380015, India"
ahm010,ChIJYwe2SsKFXjkRpPVJNCXGjNw,Hotel Elysian Residency,"Hotel Elysian Residency, Opp Reliance Mall Near Namaste Circle(BAPS Circle, Road, Jain Colony, Shahibag, Ahmedabad, Gujarat 380004, India"
ahm011,ChIJ4_VCqViDXjkRU8mf7JAwk_E,Pride Plaza Hotel Ahmedabad,"Judges Bungalow Rd, off Sarkhej - Gandhinagar Highway, Bodakdev, Ahmedabad, Gujarat 380054, India"
ahm012,ChIJz6HEklCEXjkRsxuvR6_KWnA,"Lemon Tree Premier, The Atrium, Ahmedabad","Off Nehru Bridge, Sabarmati, Flat-c, Jasmine Flat, Riverfront Rd, opp. Lemon tree Hotel, Old City, Towards, Khanpur, Ahmedabad, Gujarat 380001, India"
ahm013,ChIJKYwlEvKEXjkR_SNmZIk7AOw,Regenta Central Antarim Hotel,"Between, Girish Coldrink and Xaviers Corner, Chimanlal Girdharlal Rd, Vasant Vihar, Navrangpura, Ahmedabad, Gujarat 380006, India"
ahm014,ChIJCS4laNiFXjkRxjqTU5xBfio,Hotel Cosmopolitan,"Darshan Society, Road, near Stadium Circle, Swastik Society, Navrangpura, Ahmedabad, Gujarat 380009, India"
ahm015,ChIJ_TF2S52DXjkRYqZTN6ta-ss,THE HILLOCK AHMEDABAD,"THE HILLOCK AHMEDABAD, Opp. The CBD, 200 ft, Ring Road, nr. Vaishnodevi Circle, Ahmedabad, Gujarat 382421, India"
ahm016,ChIJp0Qzp92aXjkRaW4b_b5g48Y,Crowne Plaza Ahmedabad City Centre,"Sarkhej - Gandhinagar Hwy, near Shapath V, Prahlad Nagar, Ahmedabad, Gujarat 380015, India"
ahm017,ChIJowub-kuDXjkRmRNg3xyOvgM,Renaissance Ahmedabad Hotel,"Behind Ganesh Meridian Complex, Sola Road, Sarkhej - Gandhinagar Hwy, Vishwas City 1, Sola, Ahmedabad, Gujarat 380060, India"
ahm018,ChIJr3vw_1WEXjkRDrZottc85qw,Hotel The Westend,"Hotel Westend, Gujarat College Rd, Ellisbridge, Ahmedabad, Gujarat 380006, India"
ahm019,ChIJD9GOd06bXjkRAmWyMO0o4uk,The Grand Bhagwati,"Plot No 380, NH 8C, Sarkhej - Gandhinagar Hwy, opp. Gurudwara, Bodakdev, Ahmedabad, Gujarat 380054, India"
ahm020,ChIJQ87MSySFXjkRmTZCziNF3Wo,Fairfield by Marriott Ahmedabad,"Ashram Rd, Satyawadi Society, Usmanpura, Ahmedabad, Gujarat 380013, India"
ahm021,ChIJR488EwCDXjkR18rvKj9fiwI,Hotel Royal Comfort,"Shell Petrol Pump, Pushti Sparsh Arcade, 308-320, B/S, opp. to Rathi Apartment, Dharm Nagar II, Sabarmati, Ahmedabad, Gujarat 380005, India"
ahm022,ChIJs-WPnFqEXjkRRSSnfPQrQPs,Palette River Front formerly Host Inn,"hotel, Nehru Brg, opposite BMC Bank, Old City, Corner, Khanpur, Ahmedabad, Gujarat 380001, India"
ahm023,ChIJt0RFG_eEXjkRbgeisqwMh14,"Lemon Tree Hotel, Ahmedabad","434/1, Mithakali Six, Cross Rd, Maharashtra Society, Navrangpura, Ahmedabad, Gujarat 380006, India"
ahm024,ChIJBYBvtMiFXjkRLp4zAyJXMk4,Hotel City Inn,"Seema Chambers, Relief Rd, opp. Electricity House, Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001, India"
ahm025,ChIJIzCCxYqEXjkRl6ExR0y8bpk,"Fortune Select SG Highway, Ahmedabad - Member ITC Hotels’ Group","Sarkhej - Gandhinagar Hwy, near Palladium Mall, Ghatlodiya, Ahmedabad, Gujarat 380054, India"
ahm026,ChIJ31iBD1WDXjkRvWM-c_ETnnc,Cambay Grand Ahmedabad,"Gulab Tower Rd, Near PERD Centre, Thaltej, Ahmedabad, Gujarat 380054, India"
ahm027,ChIJD-XUgFyEXjkRN-KNCE4W2AA,Centra Hotel,"Hotel Centra, Bhilwas, Khanpur, Ahmedabad, Gujarat 380001, India"
ahm028,ChIJ-R4NofeEXjkR0MRxjSn6NeA,HOTEL NALANDA,"Mithakhali Six Rd, Maharashtra Society, Ellisbridge, Ahmedabad, Gujarat 380006, India"
ahm029,ChIJBz0PVNKFXjkRmu0YyESEOHs,"Fortune Park, Ahmedabad - Member ITC hotels' group","Opp Gujarat College, Purshottam Mavlankar Marg, Ellisbridge, Ahmedabad, Gujarat 380006, India"
ahm030,ChIJ5YIVVGKEXjkRHJOrVupu4ws,Fortune Landmark Ahmedabad - Member ITC Hotels' Group,"Ashram Rd, Shanti Nagar, Usmanpura, Ahmedabad, Gujarat 380013, India"
ahm031,ChIJz5uwCEuDXjkR4rCAw_wrlfo,Aarya Grand Hotels & Resorts,"Kargil Petrol Pump Lane, Vrundavan Party Plot Rd, near Gujarat High Court, Sola, Ahmedabad, Gujarat 380060, India"
ahm032,ChIJR4FnRFeEXjkRhFkwpgvipg8,Hotel Riverview,"Nehru Brg, near Sakar VII, Vishalpur, Ellisbridge, Ahmedabad, Gujarat 380009, India"
ahm033,ChIJewrSImaDXjkRunb_yVOy6ss,Hotel Paris Plaza,"H-202, S G BUSINESS HUB, Sarkhej - Gandhinagar Hwy, nr. Sola, bhagwat, Gota, Ahmedabad, Gujarat 382470, India"
ahm034,ChIJD9Umq8GDXjkRKALTTFRT3y0,"Vivanta Ahmedabad, SG Highway","147, 53, Sarkhej - Gandhinagar Hwy, opposite Bhagwat Vidhya Peeth, Sola, Ahmedabad, Gujarat 380061, India"
ahm035,ChIJZ8SxqVuEXjkRvaj95xjOw0M,The Cama - A Sabarmati Riverfront Hotel,"2HJG+FPF, Mahaveer Marg, Old City, Khanpur, Ahmedabad, Gujarat 380001, India"
ahm036,ChIJ32DYKSqbXjkRXr7KFCYNqdo,Hotel Rajdeep Inn - Deluxe & Super Deluxe Rooms Booking In Ahmedabad | Corporate Accommodation,"Shell Petrol Pump, Near, 100 Feet Anand Nagar Rd, Prahlad Nagar, Ahmedabad, Gujarat 380015, India"
ahm037,ChIJPziKk3mEXjkRS_Cv6lzp-3A,SilverCloud Hotel & Banquets,"726 & 727 opp Gandhi Ashram & Dandi Bridge, 3H5H+F3J, Ashram Rd, opp. gandhi ashram and dandi bridge, Hridaya Kunj, Old Wadaj, Ahmedabad, Gujarat 380027, India"
ahm038,ChIJi8zYiPaEXjkRM-fZ-iFn3iU,Hotel Silver Heights,"Mithakhali Cir, Nr. Passport Office, Mithakhali, Navrangpura, Ahmedabad, Gujarat 380009, India"
ahm039,ChIJ64IRK_aFXjkR_nB9OYerBkQ,Hotel Noble Inn,"Hanuman Gali, Relief Rd, opp. to Electric City house, Old City, Gheekanta, Lal Darwaja, Ahmedabad, Gujarat 380001, India"
ahm040,ChIJG88U81iBXjkRf_yC1zE3l4c,The Ummed Ahmedabad,"The Ummed, Airport Cir, Sardarnagar, Hansol, Ahmedabad, Gujarat 382475, India"
